Date,Close
2000/1/4,69.649033
2000/1/5,71.214043
2000/1/6,69.649033
2000/1/7,67.69249
2000/1/10,70.040192
2000/1/11,68.866341
2000/1/12,70.822884
2000/1/13,69.649033
2000/1/14,71.214043
2000/1/17,73.170578
2000/1/18,71.996735
2000/1/19,71.996735
2000/1/20,71.214043
2000/1/21,72.779045
2000/1/24,73.561737
2000/1/25,75.51828
2000/1/26,80.604836
2000/1/27,81.387527
2000/1/28,79.822517
2000/1/31,79.430984
2000/2/1,79.039825
2000/2/2,79.039825
2000/2/3,79.039825
2000/2/4,79.039825
2000/2/7,79.039825
2000/2/8,79.039825
2000/2/9,82.561378
2000/2/10,83.735229
2000/2/11,85.691772
2000/2/14,83.735229
2000/2/15,84.126389
2000/2/16,83.34407
2000/2/17,82.561378
2000/2/18,81.387527
2000/2/21,76.300598
2000/2/22,76.300598
2000/2/23,75.909439
2000/2/24,76.300598
2000/2/25,77.865982
2000/2/28,77.865982
2000/2/29,78.648293
2000/3/1,80.604836
2000/3/2,79.430984
2000/3/3,79.430984
2000/3/6,78.257141
2000/3/7,77.865982
2000/3/8,77.474449
2000/3/9,78.257141
2000/3/10,76.300598
2000/3/13,71.214043
2000/3/14,72.779045
2000/3/15,71.605202
2000/3/16,71.996735
2000/3/17,74.344429
2000/3/20,71.996735
2000/3/21,76.300598
2000/3/22,75.126747
2000/3/23,78.648293
2000/3/24,77.474449
2000/3/27,82.561378
2000/3/28,81.778687
2000/3/29,79.822517
2000/3/30,81.387527
2000/3/31,80.213676
2000/4/3,80.213676
2000/4/4,80.213676
2000/4/5,81.387527
2000/4/6,79.039825
2000/4/7,78.257141
2000/4/10,82.170219
2000/4/11,80.213676
2000/4/12,78.257141
2000/4/13,75.126747
2000/4/14,72.779045
2000/4/17,70.040192
2000/4/18,73.952896
2000/4/19,71.605202
2000/4/20,72.779045
2000/4/21,72.779045
2000/4/24,70.431351
2000/4/25,73.170578
2000/4/26,72.387894
2000/4/27,73.561737
2000/4/28,77.08329
2000/5/1,77.08329
2000/5/2,75.51828
2000/5/3,73.561737
2000/5/4,73.170578
2000/5/5,75.126747
2000/5/8,75.51828
2000/5/9,75.51828
2000/5/10,73.561737
2000/5/11,70.040192
2000/5/12,72.387894
2000/5/15,70.61927
2000/5/16,74.876274
2000/5/17,79.634438
2000/5/18,81.638123
2000/5/19,81.136963
2000/5/22,79.133751
2000/5/23,76.629379
2000/5/24,74.375587
2000/5/25,72.873062
2000/5/26,72.873062
2000/5/29,72.873062
2000/5/30,72.873062
2000/5/31,78.632591
2000/6/1,76.629379
2000/6/2,77.631226
2000/6/5,79.133751
2000/6/6,79.133751
2000/6/7,80.636276
2000/6/8,78.632591
2000/6/9,79.133751
2000/6/12,78.632591
2000/6/13,77.631226
2000/6/14,77.130058
2000/6/15,75.126854
2000/6/16,75.126854
2000/6/19,74.125008
2000/6/20,74.375587
2000/6/21,73.624329
2000/6/22,74.626167
